,bandwidth,pps,packetsize,cpu,modified_bandwidth
166,606.17,53504.0,64,70,606.17
167,590.65,52523.0,64,70,590.65
168,603.57,53490.0,64,70,603.57
169,604.61,53576.0,64,70,604.61
170,614.01,54717.0,64,80,614.01
171,611.69,54517.0,64,80,611.69
172,616.17,54899.0,64,80,616.17
173,606.4,54094.0,64,80,606.4
174,615.09,54823.0,64,80,615.09
175,617.07,55018.0,64,80,617.07
176,611.09,54391.0,64,80,611.09
177,614.69,54747.0,64,80,614.69
178,616.06,54896.0,64,80,616.06
179,616.47,54922.0,64,80,616.47
180,587.29,52838.0,64,90,587.29
181,586.7,52862.0,64,90,586.7
182,596.94,53564.0,64,90,596.94
183,590.19,52960.0,64,90,590.19
184,596.7,53563.0,64,90,596.7
185,601.1,54185.0,64,90,601.1
186,600.61,54003.0,64,90,600.61
187,596.76,53505.0,64,90,596.76
188,596.15,53453.0,64,90,596.15
189,594.57,53334.0,64,90,594.57
190,613.42,54933.0,64,100,613.42
191,613.78,54980.0,64,100,613.78
192,615.51,55409.0,64,100,615.51
193,607.24,54458.0,64,100,607.24
194,613.9,55061.0,64,100,613.9
195,605.35,54447.0,64,100,605.35
196,616.59,55195.0,64,100,616.59
197,617.22,55317.0,64,100,617.22
198,608.95,54632.0,64,100,608.95
199,613.71,55010.0,64,100,613.71
200,309.39,9621.0,128,10,309.39
201,333.54,10036.0,128,10,333.54
202,358.18,9561.0,128,10,358.18
203,330.99,9961.0,128,10,330.99
204,342.14,9642.0,128,10,342.14
205,336.12,9290.0,128,10,336.12
206,334.13,9800.0,128,10,334.13
207,367.16,9689.0,128,10,367.16
208,365.46,9995.0,128,10,365.46
209,336.81,10104.0,128,10,336.81
210,488.93,23507.0,128,20,488.93
211,501.18,24283.0,128,20,501.18
212,449.26,22668.0,128,20,449.26
213,548.05,26631.0,128,20,548.05
214,520.96,25316.0,128,20,520.96
215,510.21,24468.0,128,20,510.21
216,515.14,24987.0,128,20,515.14
217,502.43,24013.0,128,20,502.43
218,474.93,23275.0,128,20,474.93
219,515.98,24643.0,128,20,515.98
220,906.07,56263.0,128,30,906.07
221,882.62,56847.0,128,30,882.62
222,922.25,56371.0,128,30,922.25
223,900.7,56126.0,128,30,900.7
224,907.83,57198.0,128,30,907.83
225,890.16,56519.0,128,30,890.16
226,898.86,56372.0,128,30,898.86
227,901.87,56600.0,128,30,901.87
228,897.57,56284.0,128,30,897.57
229,886.72,56517.0,128,30,886.72
230,872.33,71725.0,128,40,872.33
231,869.87,72079.0,128,40,869.87
232,868.9,71806.0,128,40,868.9
233,865.47,71335.0,128,40,865.47
234,864.46,72057.0,128,40,864.46
235,873.05,71568.0,128,40,873.05
236,864.81,71690.0,128,40,864.81
237,866.91,71675.0,128,40,866.91
238,873.76,71479.0,128,40,873.76
239,868.06,72100.0,128,40,868.06
240,893.35,73263.0,128,50,893.35
241,885.69,72865.0,128,50,885.69
242,894.8,73507.0,128,50,894.8
243,901.07,73758.0,128,50,901.07
244,893.96,73365.0,128,50,893.96
245,914.0,74421.0,128,50,914.0
246,909.14,73673.0,128,50,909.14
247,900.25,74294.0,128,50,900.25
248,883.93,72896.0,128,50,883.93
249,889.46,72571.0,128,50,889.46
250,916.03,74704.0,128,60,916.03
251,931.49,75491.0,128,60,931.49
252,905.98,74061.0,128,60,905.98
253,921.67,75436.0,128,60,921.67
254,923.13,75341.0,128,60,923.13
255,919.93,74739.0,128,60,919.93
256,921.05,74945.0,128,60,921.05
257,940.47,76276.0,128,60,940.47
258,931.69,75210.0,128,60,931.69
259,927.73,75649.0,128,60,927.73
260,953.64,76732.0,128,70,953.64
261,965.79,77787.0,128,70,965.79
262,965.61,77710.0,128,70,965.61
263,960.96,77248.0,128,70,960.96
264,957.21,77253.0,128,70,957.21
265,964.3,77442.0,128,70,964.3
266,966.19,77646.0,128,70,966.19
267,964.58,77829.0,128,70,964.58
268,959.55,77627.0,128,70,959.55
269,963.56,77561.0,128,70,963.56
270,976.93,78724.0,128,80,976.93
271,982.57,79264.0,128,80,982.57
272,972.93,79057.0,128,80,972.93
273,979.5,79072.0,128,80,979.5
274,985.13,79703.0,128,80,985.13
275,965.9,78570.0,128,80,965.9
276,962.15,78197.0,128,80,962.15
277,957.2,77879.0,128,80,957.2
278,987.16,79628.0,128,80,987.16
279,976.78,78833.0,128,80,976.78
280,952.64,78685.0,128,90,952.64
281,989.25,80667.0,128,90,989.25
282,974.39,79536.0,128,90,974.39
283,956.82,78309.0,128,90,956.82
284,951.44,78083.0,128,90,951.44
285,975.04,79665.0,128,90,975.04
286,970.99,79151.0,128,90,970.99
287,980.55,79985.0,128,90,980.55
288,972.62,79552.0,128,90,972.62
289,974.27,79587.0,128,90,974.27
290,983.96,80406.0,128,100,983.96
291,968.84,79768.0,128,100,968.84
292,985.13,80805.0,128,100,985.13
293,982.11,80763.0,128,100,982.11
294,978.82,80296.0,128,100,978.82
295,979.5,80105.0,128,100,979.5
296,981.8,80322.0,128,100,981.8
297,980.14,80372.0,128,100,980.14
298,977.31,80077.0,128,100,977.31
299,978.79,80189.0,128,100,978.79
300,348.01,9640.0,256,10,348.01
301,352.3,10192.0,256,10,352.3
302,337.66,9907.0,256,10,337.66
303,357.15,9633.0,256,10,357.15
304,353.13,10257.0,256,10,353.13
305,384.58,10552.0,256,10,384.58
306,353.35,9878.0,256,10,353.35
307,347.41,10007.0,256,10,347.41
308,385.44,10013.0,256,10,385.44
309,382.39,10141.0,256,10,382.39
310,511.67,20591.0,256,20,511.67
311,510.22,21470.0,256,20,510.22
312,546.76,21711.0,256,20,546.76
313,524.46,20865.0,256,20,524.46
314,503.37,21331.0,256,20,503.37
315,515.34,20886.0,256,20,515.34
316,514.84,21083.0,256,20,514.84
317,534.31,21437.0,256,20,534.31
318,514.32,20997.0,256,20,514.32
319,521.58,21679.0,256,20,521.58
320,790.29,40330.0,256,30,790.29
321,777.53,39086.0,256,30,777.53
322,770.41,38548.0,256,30,770.41
323,751.98,38738.0,256,30,751.98
324,760.48,39241.0,256,30,760.48
325,769.92,39912.0,256,30,769.92
326,785.36,40041.0,256,30,785.36
327,764.52,39292.0,256,30,764.52
328,738.36,38832.0,256,30,738.36
329,743.61,38714.0,256,30,743.61
330,1.35,80164.0,256,40,1350.0
331,1.33,79296.0,256,40,1330.0
332,1.34,79945.0,256,40,1340.0
333,1.35,79280.0,256,40,1350.0
334,1.33,79432.0,256,40,1330.0
335,1.33,80345.0,256,40,1330.0
336,1.34,78974.0,256,40,1340.0
337,1.29,80992.0,256,40,1290.0
338,1.35,79523.0,256,40,1350.0
339,1.32,79130.0,256,40,1320.0
340,1.34,98896.0,256,50,1340.0
341,1.32,97470.0,256,50,1320.0
342,1.35,98322.0,256,50,1350.0
343,1.32,98570.0,256,50,1320.0
344,1.33,97247.0,256,50,1330.0
345,1.33,98277.0,256,50,1330.0
346,1.33,97790.0,256,50,1330.0
347,1.33,97437.0,256,50,1330.0
348,1.35,97936.0,256,50,1350.0
349,1.31,96697.0,256,50,1310.0
350,1.38,101465.0,256,60,1380.0
351,1.38,100080.0,256,60,1380.0
352,1.38,100421.0,256,60,1380.0
353,1.39,101114.0,256,60,1390.0
354,1.36,98655.0,256,60,1360.0
355,1.38,100494.0,256,60,1380.0
356,1.39,100296.0,256,60,1390.0
357,1.38,100202.0,256,60,1380.0
358,1.37,100113.0,256,60,1370.0
359,1.39,99945.0,256,60,1390.0
360,1.44,103138.0,256,70,1440.0
361,1.42,102315.0,256,70,1420.0
362,1.44,102907.0,256,70,1440.0
363,1.43,103939.0,256,70,1430.0
364,1.44,102237.0,256,70,1440.0
365,1.41,100785.0,256,70,1410.0
366,1.43,102553.0,256,70,1430.0
367,1.44,102307.0,256,70,1440.0
368,1.44,103094.0,256,70,1440.0
369,1.43,102150.0,256,70,1430.0
370,1.49,105139.0,256,80,1490.0
371,1.48,105511.0,256,80,1480.0
372,1.49,105243.0,256,80,1490.0
373,1.49,104587.0,256,80,1490.0
374,1.49,106027.0,256,80,1490.0
375,1.47,104846.0,256,80,1470.0
376,1.48,104794.0,256,80,1480.0
377,1.47,104534.0,256,80,1470.0
378,1.48,103970.0,256,80,1480.0
379,1.48,104354.0,256,80,1480.0
380,1.5,107021.0,256,90,1500.0
381,1.47,104698.0,256,90,1470.0
382,1.5,106186.0,256,90,1500.0
383,1.48,105356.0,256,90,1480.0
384,1.49,105550.0,256,90,1490.0
385,1.5,106925.0,256,90,1500.0
386,1.49,105709.0,256,90,1490.0
387,1.49,105018.0,256,90,1490.0
388,1.5,106992.0,256,90,1500.0
389,1.47,104749.0,256,90,1470.0
390,1.5,107156.0,256,100,1500.0
391,1.5,106256.0,256,100,1500.0
392,1.5,106466.0,256,100,1500.0
393,1.49,106388.0,256,100,1490.0
394,1.48,106128.0,256,100,1480.0
395,1.48,105279.0,256,100,1480.0
396,1.49,107102.0,256,100,1490.0
397,1.48,105738.0,256,100,1480.0
398,1.48,105967.0,256,100,1480.0
399,1.45,104650.0,256,100,1450.0
400,399.52,10836.0,512,10,399.52
401,439.64,10144.0,512,10,439.64
402,424.14,11261.0,512,10,424.14
403,395.63,10550.0,512,10,395.63
404,400.03,10707.0,512,10,400.03
405,394.58,10807.0,512,10,394.58
406,393.58,10254.0,512,10,393.58
407,414.85,10747.0,512,10,414.85
408,410.62,10815.0,512,10,410.62
409,413.14,10394.0,512,10,413.14
410,628.26,22946.0,512,20,628.26
411,579.07,21474.0,512,20,579.07
412,593.73,21939.0,512,20,593.73
413,662.08,22865.0,512,20,662.08
414,650.37,21337.0,512,20,650.37
415,638.63,22578.0,512,20,638.63
416,631.35,22306.0,512,20,631.35
417,611.31,22076.0,512,20,611.31
418,620.35,22596.0,512,20,620.35
419,760.65,27535.0,512,20,760.65
420,790.29,40330.0,512,30,790.29
421,777.53,39086.0,512,30,777.53
422,770.41,38548.0,512,30,770.41
423,751.98,38738.0,512,30,751.98
424,760.48,39241.0,512,30,760.48
425,769.92,39912.0,512,30,769.92
426,785.36,40041.0,512,30,785.36
427,764.52,39292.0,512,30,764.52
428,738.36,38832.0,512,30,738.36
429,743.61,38714.0,512,30,743.61
430,1.17,59619.0,512,40,1170.0
431,1.31,60716.0,512,40,1310.0
432,1.28,61223.0,512,40,1280.0
433,1.3,62265.0,512,40,1300.0
434,1.29,59616.0,512,40,1290.0
435,1.28,60839.0,512,40,1280.0
436,1.24,59127.0,512,40,1240.0
437,1.27,61334.0,512,40,1270.0
438,1.3,60993.0,512,40,1300.0
439,1.27,59855.0,512,40,1270.0
440,2.01,106414.0,512,50,2009.9999999999998
441,1.88,107619.0,512,50,1880.0
442,2.04,106202.0,512,50,2040.0
443,2.11,105268.0,512,50,2110.0
444,2.11,106851.0,512,50,2110.0
445,2.21,105314.0,512,50,2210.0
446,2.12,106531.0,512,50,2120.0
447,2.16,106537.0,512,50,2160.0
448,2.19,106509.0,512,50,2190.0
449,2.17,106810.0,512,50,2170.0
450,2.16,126040.0,512,60,2160.0
451,2.19,125096.0,512,60,2190.0
452,2.18,125346.0,512,60,2180.0
453,2.2,125698.0,512,60,2200.0
454,2.12,127424.0,512,60,2120.0
455,2.16,125580.0,512,60,2160.0
456,2.14,124795.0,512,60,2140.0
457,2.14,126169.0,512,60,2140.0
458,2.14,125093.0,512,60,2140.0
459,2.19,123892.0,512,60,2190.0
460,2.19,129851.0,512,70,2190.0
461,2.19,128889.0,512,70,2190.0
462,2.17,128551.0,512,70,2170.0
463,2.17,129095.0,512,70,2170.0
464,2.17,131141.0,512,70,2170.0
465,2.19,128913.0,512,70,2190.0
466,2.2,129522.0,512,70,2200.0
467,2.14,127988.0,512,70,2140.0
468,2.12,126584.0,512,70,2120.0
469,2.14,127037.0,512,70,2140.0
470,2.2,129479.0,512,80,2200.0
471,2.22,129057.0,512,80,2220.0
472,2.19,129711.0,512,80,2190.0
473,2.17,130419.0,512,80,2170.0
474,2.14,128464.0,512,80,2140.0
475,2.18,129877.0,512,80,2180.0
476,2.18,128104.0,512,80,2180.0
477,2.14,128527.0,512,80,2140.0
478,2.15,127575.0,512,80,2150.0
479,2.21,129433.0,512,80,2210.0
480,2.14,133045.0,512,90,2140.0
481,2.11,129678.0,512,90,2110.0
482,2.18,128123.0,512,90,2180.0
483,2.16,130476.0,512,90,2160.0
484,2.2,129804.0,512,90,2200.0
485,2.22,130102.0,512,90,2220.0
486,2.21,130053.0,512,90,2210.0
487,2.1,134983.0,512,90,2100.0
488,2.2,129179.0,512,90,2200.0
489,2.19,129934.0,512,90,2190.0
490,2.17,130245.0,512,100,2170.0
491,2.19,128981.0,512,100,2190.0
492,2.19,129140.0,512,100,2190.0
493,2.18,129217.0,512,100,2180.0
494,2.2,128394.0,512,100,2200.0
495,2.19,128391.0,512,100,2190.0
496,2.2,129233.0,512,100,2200.0
497,2.17,130972.0,512,100,2170.0
498,2.15,129630.0,512,100,2150.0
499,2.18,128094.0,512,100,2180.0
500,514.89,11879.0,1024,10,514.89
501,687.19,11391.0,1024,10,687.19
502,543.49,11504.0,1024,10,543.49
503,629.08,11438.0,1024,10,629.08
504,602.34,11368.0,1024,10,602.34
505,586.82,11416.0,1024,10,586.82
506,581.0,11554.0,1024,10,581.0
507,537.44,11237.0,1024,10,537.44
508,470.25,11781.0,1024,10,470.25
509,656.1,11538.0,1024,10,656.1
510,978.73,23278.0,1024,20,978.73
511,983.21,24769.0,1024,20,983.21
512,1100.0,24371.0,1024,20,1100.0
513,1100.0,24858.0,1024,20,1100.0
514,874.58,24288.0,1024,20,874.58
515,1100.0,24340.0,1024,20,1100.0
516,1240.0,25037.0,1024,20,1240.0
517,1110.0,24288.0,1024,20,1110.0
518,1170.0,25005.0,1024,20,1170.0
519,935.35,24181.0,1024,20,935.35
520,1.54,40147.0,1024,30,1540.0
521,1.46,40415.0,1024,30,1460.0
522,1.7,41137.0,1024,30,1700.0
523,1.2,39312.0,1024,30,1200.0
524,1.68,42564.0,1024,30,1680.0
525,1.65,41682.0,1024,30,1650.0
526,1.64,41606.0,1024,30,1640.0
527,1.52,41857.0,1024,30,1520.0
528,1.66,40702.0,1024,30,1660.0
529,1.57,40551.0,1024,30,1570.0
530,2.3,64393.0,1024,40,2300.0
531,2.05,54955.0,1024,40,2050.0
532,1.95,58787.0,1024,40,1950.0
533,2.27,55386.0,1024,40,2270.0
534,2.22,50625.0,1024,40,2220.0
535,2.18,61223.0,1024,40,2180.0
536,2.34,63679.0,1024,40,2340.0
537,2.84,55776.0,1024,40,2840.0
538,2.18,62421.0,1024,40,2180.0
539,2.59,62506.0,1024,40,2590.0
540,4.69,71661.0,1024,50,4690.0
541,4.0,87599.0,1024,50,4000.0
