,bandwidth,pps,packetsize,cpu
0,514.89,11879.0,1024,10
1,687.19,11391.0,1024,10
2,543.49,11504.0,1024,10
3,629.08,11438.0,1024,10
4,602.34,11368.0,1024,10
5,586.82,11416.0,1024,10
6,581.0,11554.0,1024,10
7,537.44,11237.0,1024,10
8,470.25,11781.0,1024,10
9,656.1,11538.0,1024,10
10,978.73,23278.0,1024,20
11,983.21,24769.0,1024,20
12,1100.0,24371.0,1024,20
13,1100.0,24858.0,1024,20
14,874.58,24288.0,1024,20
15,1100.0,24340.0,1024,20
16,1240.0,25037.0,1024,20
17,1110.0,24288.0,1024,20
18,1170.0,25005.0,1024,20
19,935.35,24181.0,1024,20
20,1.54,40147.0,1024,30
21,1.46,40415.0,1024,30
22,1.7,41137.0,1024,30
23,1.2,39312.0,1024,30
24,1.68,42564.0,1024,30
25,1.65,41682.0,1024,30
26,1.64,41606.0,1024,30
27,1.52,41857.0,1024,30
28,1.66,40702.0,1024,30
29,1.57,40551.0,1024,30
30,2.3,64393.0,1024,40
31,2.05,54955.0,1024,40
32,1.95,58787.0,1024,40
33,2.27,55386.0,1024,40
34,2.22,50625.0,1024,40
35,2.18,61223.0,1024,40
36,2.34,63679.0,1024,40
37,2.84,55776.0,1024,40
38,2.18,62421.0,1024,40
39,2.59,62506.0,1024,40
40,4.69,71661.0,1024,50
41,4.0,87599.0,1024,50
42,4.57,75725.0,1024,50
43,4.87,74275.0,1024,50
44,4.49,78570.0,1024,50
45,3.89,75481.0,1024,50
46,6.84,55114.0,1024,50
47,5.96,65769.0,1024,50
48,5.33,71154.0,1024,50
49,5.92,56516.0,1024,50
50,4.59,110838.0,1024,60
51,5.61,87957.0,1024,60
52,6.04,80288.0,1024,60
53,7.22,56575.0,1024,60
54,5.11,99654.0,1024,60
55,4.56,111593.0,1024,60
56,5.61,89169.0,1024,60
57,5.2,96959.0,1024,60
58,5.04,100050.0,1024,60
59,5.19,96961.0,1024,60
60,3.7,131518.0,1024,70
61,4.9,104865.0,1024,70
62,5.22,98008.0,1024,70
63,3.7,133752.0,1024,70
64,4.49,115733.0,1024,70
65,5.56,91473.0,1024,70
66,3.77,130906.0,1024,70
67,4.11,124118.0,1024,70
68,5.14,100641.0,1024,70
69,4.59,112249.0,1024,70
70,4.93,106372.0,1024,80
71,4.72,111458.0,1024,80
72,4.77,108086.0,1024,80
73,4.25,117580.0,1024,80
74,4.16,120979.0,1024,80
75,4.25,120305.0,1024,80
76,5.13,100898.0,1024,80
77,4.8,107374.0,1024,80
78,5.82,83460.0,1024,80
79,5.3,96599.0,1024,80
80,4.83,108585.0,1024,90
81,4.39,117288.0,1024,90
82,5.69,90149.0,1024,90
83,4.33,119693.0,1024,90
84,4.99,103926.0,1024,90
85,4.98,105414.0,1024,90
86,3.99,126588.0,1024,90
87,5.89,84469.0,1024,90
88,5.03,103012.0,1024,90
89,4.93,105120.0,1024,90
90,4.8,108045.0,1024,100
91,4.66,111314.0,1024,100
92,5.01,104076.0,1024,100
93,5.92,83936.0,1024,100
94,5.09,102354.0,1024,100
95,5.22,101540.0,1024,100
96,4.85,107245.0,1024,100
97,4.72,108798.0,1024,100
98,4.71,111809.0,1024,100
99,4.81,108392.0,1024,100
