,bandwidth,pps,packetsize,cpu
0,309.39,9621.0,128,10
1,333.54,10036.0,128,10
2,358.18,9561.0,128,10
3,330.99,9961.0,128,10
4,342.14,9642.0,128,10
5,336.12,9290.0,128,10
6,334.13,9800.0,128,10
7,367.16,9689.0,128,10
8,365.46,9995.0,128,10
9,336.81,10104.0,128,10
10,488.93,23507.0,128,20
11,501.18,24283.0,128,20
12,449.26,22668.0,128,20
13,548.05,26631.0,128,20
14,520.96,25316.0,128,20
15,510.21,24468.0,128,20
16,515.14,24987.0,128,20
17,502.43,24013.0,128,20
18,474.93,23275.0,128,20
19,515.98,24643.0,128,20
20,906.07,56263.0,128,30
21,882.62,56847.0,128,30
22,922.25,56371.0,128,30
23,900.7,56126.0,128,30
24,907.83,57198.0,128,30
25,890.16,56519.0,128,30
26,898.86,56372.0,128,30
27,901.87,56600.0,128,30
28,897.57,56284.0,128,30
29,886.72,56517.0,128,30
30,872.33,71725.0,128,40
31,869.87,72079.0,128,40
32,868.9,71806.0,128,40
33,865.47,71335.0,128,40
34,864.46,72057.0,128,40
35,873.05,71568.0,128,40
36,864.81,71690.0,128,40
37,866.91,71675.0,128,40
38,873.76,71479.0,128,40
39,868.06,72100.0,128,40
40,893.35,73263.0,128,50
41,885.69,72865.0,128,50
42,894.8,73507.0,128,50
43,901.07,73758.0,128,50
44,893.96,73365.0,128,50
45,914.0,74421.0,128,50
46,909.14,73673.0,128,50
47,900.25,74294.0,128,50
48,883.93,72896.0,128,50
49,889.46,72571.0,128,50
50,916.03,74704.0,128,60
51,931.49,75491.0,128,60
52,905.98,74061.0,128,60
53,921.67,75436.0,128,60
54,923.13,75341.0,128,60
55,919.93,74739.0,128,60
56,921.05,74945.0,128,60
57,940.47,76276.0,128,60
58,931.69,75210.0,128,60
59,927.73,75649.0,128,60
60,953.64,76732.0,128,70
61,965.79,77787.0,128,70
62,965.61,77710.0,128,70
63,960.96,77248.0,128,70
64,957.21,77253.0,128,70
65,964.3,77442.0,128,70
66,966.19,77646.0,128,70
67,964.58,77829.0,128,70
68,959.55,77627.0,128,70
69,963.56,77561.0,128,70
70,976.93,78724.0,128,80
71,982.57,79264.0,128,80
72,972.93,79057.0,128,80
73,979.5,79072.0,128,80
74,985.13,79703.0,128,80
75,965.9,78570.0,128,80
76,962.15,78197.0,128,80
77,957.2,77879.0,128,80
78,987.16,79628.0,128,80
79,976.78,78833.0,128,80
80,952.64,78685.0,128,90
81,989.25,80667.0,128,90
82,974.39,79536.0,128,90
83,956.82,78309.0,128,90
84,951.44,78083.0,128,90
85,975.04,79665.0,128,90
86,970.99,79151.0,128,90
87,980.55,79985.0,128,90
88,972.62,79552.0,128,90
89,974.27,79587.0,128,90
90,983.96,80406.0,128,100
91,968.84,79768.0,128,100
92,985.13,80805.0,128,100
93,982.11,80763.0,128,100
94,978.82,80296.0,128,100
95,979.5,80105.0,128,100
96,981.8,80322.0,128,100
97,980.14,80372.0,128,100
98,977.31,80077.0,128,100
99,978.79,80189.0,128,100
