,bandwidth,pps,packetsize,cpu
0,404.44,12962.0,64,10
1,411.85,13889.0,64,10
2,352.32,11810.0,64,10
3,358.05,12758.0,64,10
4,406.96,13189.0,64,10
5,405.62,13028.0,64,10
6,332.68,11858.0,64,10
7,353.91,11936.0,64,10
8,403.81,12822.0,64,10
9,397.17,13027.0,64,10
10,567.98,35344.0,64,20
11,600.79,35367.0,64,20
12,566.89,35685.0,64,20
13,566.43,34998.0,64,20
14,603.28,36138.0,64,20
15,581.06,35469.0,64,20
16,584.65,35760.0,64,20
17,575.67,35444.0,64,20
18,572.7,35687.0,64,20
19,580.44,35576.0,64,20
20,554.56,48549.0,64,30
21,537.57,46987.0,64,30
22,554.45,48580.0,64,30
23,536.26,47310.0,64,30
24,543.92,47576.0,64,30
25,543.84,47981.0,64,30
26,550.34,48271.0,64,30
27,547.7,47762.0,64,30
28,548.62,48382.0,64,30
29,540.78,47032.0,64,30
30,558.58,49319.0,64,40
31,567.12,50088.0,64,40
32,567.92,50008.0,64,40
33,565.96,49877.0,64,40
34,566.96,50037.0,64,40
35,563.21,49180.0,64,40
36,563.33,49686.0,64,40
37,550.08,48319.0,64,40
38,568.78,50102.0,64,40
39,572.72,50180.0,64,40
40,583.18,51401.0,64,50
41,583.92,51500.0,64,50
42,584.18,51355.0,64,50
43,606.37,51929.0,64,50
44,575.28,50781.0,64,50
45,577.05,50792.0,64,50
46,584.9,51640.0,64,50
47,585.75,51455.0,64,50
48,575.94,50603.0,64,50
49,572.55,50574.0,64,50
50,582.69,51321.0,64,60
51,587.31,51605.0,64,60
52,591.78,51711.0,64,60
53,583.92,51603.0,64,60
54,597.79,52822.0,64,60
55,601.06,52846.0,64,60
56,602.66,53024.0,64,60
57,601.56,52401.0,64,60
58,596.22,52664.0,64,60
59,598.66,52545.0,64,60
60,620.52,54401.0,64,70
61,585.25,52119.0,64,70
62,607.16,53722.0,64,70
63,607.43,53852.0,64,70
64,603.21,53516.0,64,70
65,604.27,53451.0,64,70
66,606.17,53504.0,64,70
67,590.65,52523.0,64,70
68,603.57,53490.0,64,70
69,604.61,53576.0,64,70
70,614.01,54717.0,64,80
71,611.69,54517.0,64,80
72,616.17,54899.0,64,80
73,606.4,54094.0,64,80
74,615.09,54823.0,64,80
75,617.07,55018.0,64,80
76,611.09,54391.0,64,80
77,614.69,54747.0,64,80
78,616.06,54896.0,64,80
79,616.47,54922.0,64,80
80,587.29,52838.0,64,90
81,586.7,52862.0,64,90
82,596.94,53564.0,64,90
83,590.19,52960.0,64,90
84,596.7,53563.0,64,90
85,601.1,54185.0,64,90
86,600.61,54003.0,64,90
87,596.76,53505.0,64,90
88,596.15,53453.0,64,90
89,594.57,53334.0,64,90
90,613.42,54933.0,64,100
91,613.78,54980.0,64,100
92,615.51,55409.0,64,100
93,607.24,54458.0,64,100
94,613.9,55061.0,64,100
95,605.35,54447.0,64,100
96,616.59,55195.0,64,100
97,617.22,55317.0,64,100
98,608.95,54632.0,64,100
99,613.71,55010.0,64,100
