,bandwidth,pps,packetsize,cpu
0,348.01,9640.0,256,10
1,352.3,10192.0,256,10
2,337.66,9907.0,256,10
3,357.15,9633.0,256,10
4,353.13,10257.0,256,10
5,384.58,10552.0,256,10
6,353.35,9878.0,256,10
7,347.41,10007.0,256,10
8,385.44,10013.0,256,10
9,382.39,10141.0,256,10
10,511.67,20591.0,256,20
11,510.22,21470.0,256,20
12,546.76,21711.0,256,20
13,524.46,20865.0,256,20
14,503.37,21331.0,256,20
15,515.34,20886.0,256,20
16,514.84,21083.0,256,20
17,534.31,21437.0,256,20
18,514.32,20997.0,256,20
19,521.58,21679.0,256,20
20,790.29,40330.0,256,30
21,777.53,39086.0,256,30
22,770.41,38548.0,256,30
23,751.98,38738.0,256,30
24,760.48,39241.0,256,30
25,769.92,39912.0,256,30
26,785.36,40041.0,256,30
27,764.52,39292.0,256,30
28,738.36,38832.0,256,30
29,743.61,38714.0,256,30
30,1.35,80164.0,256,40
31,1.33,79296.0,256,40
32,1.34,79945.0,256,40
33,1.35,79280.0,256,40
34,1.33,79432.0,256,40
35,1.33,80345.0,256,40
36,1.34,78974.0,256,40
37,1.29,80992.0,256,40
38,1.35,79523.0,256,40
39,1.32,79130.0,256,40
40,1.34,98896.0,256,50
41,1.32,97470.0,256,50
42,1.35,98322.0,256,50
43,1.32,98570.0,256,50
44,1.33,97247.0,256,50
45,1.33,98277.0,256,50
46,1.33,97790.0,256,50
47,1.33,97437.0,256,50
48,1.35,97936.0,256,50
49,1.31,96697.0,256,50
50,1.38,101465.0,256,60
51,1.38,100080.0,256,60
52,1.38,100421.0,256,60
53,1.39,101114.0,256,60
54,1.36,98655.0,256,60
55,1.38,100494.0,256,60
56,1.39,100296.0,256,60
57,1.38,100202.0,256,60
58,1.37,100113.0,256,60
59,1.39,99945.0,256,60
60,1.44,103138.0,256,70
61,1.42,102315.0,256,70
62,1.44,102907.0,256,70
63,1.43,103939.0,256,70
64,1.44,102237.0,256,70
65,1.41,100785.0,256,70
66,1.43,102553.0,256,70
67,1.44,102307.0,256,70
68,1.44,103094.0,256,70
69,1.43,102150.0,256,70
70,1.49,105139.0,256,80
71,1.48,105511.0,256,80
72,1.49,105243.0,256,80
73,1.49,104587.0,256,80
74,1.49,106027.0,256,80
75,1.47,104846.0,256,80
76,1.48,104794.0,256,80
77,1.47,104534.0,256,80
78,1.48,103970.0,256,80
79,1.48,104354.0,256,80
80,1.5,107021.0,256,90
81,1.47,104698.0,256,90
82,1.5,106186.0,256,90
83,1.48,105356.0,256,90
84,1.49,105550.0,256,90
85,1.5,106925.0,256,90
86,1.49,105709.0,256,90
87,1.49,105018.0,256,90
88,1.5,106992.0,256,90
89,1.47,104749.0,256,90
90,1.5,107156.0,256,100
91,1.5,106256.0,256,100
92,1.5,106466.0,256,100
93,1.49,106388.0,256,100
94,1.48,106128.0,256,100
95,1.48,105279.0,256,100
96,1.49,107102.0,256,100
97,1.48,105738.0,256,100
98,1.48,105967.0,256,100
99,1.45,104650.0,256,100
